Id,Class
1,0.444627378
2,0.295030442
3,0.609274458
4,0.7606575
5,0.092458348
6,0.704701713
7,0.652209143
8,0.641712258
9,0.589388769
10,0.389296526
11,0.566906595
12,0.976075721
13,0.55358956
14,0.081204936
15,0.578151785
16,0.204435375
17,0.970223772
18,0.188923329
19,0.8185251
20,0.366443315
21,0.570684483
22,0.784588557
23,0.638493815
24,0.510684378
25,0.126221349
26,0.303837127
27,0.017936692
28,0.78155843
29,0.511133607
30,0.424747426
31,0.321324072
32,0.106574044
33,0.04726951
34,0.81948946
35,0.954783665
36,0.299285151
37,0.25008582
38,0.61288919
39,0.980466484
40,0.880569871
41,0.33093242
42,0.660067718
43,0.168258144
44,0.669208712
45,0.201697872
46,0.277983484
47,0.9617872
48,0.84946663
49,0.807750432
50,0.779265748
51,0.979618165
52,0.218344811
53,0.150441908
54,0.056643651
55,0.66573824
56,0.94766712
57,0.87660266
58,0.336423077
59,0.157789396
60,0.377071404
61,0.43936873
62,0.004655534
63,0.037792952
64,0.050520947
65,0.780448522
66,0.045639951
67,0.090324425
68,0.560902837
69,0.294816357
70,0.008577063
71,0.667195454
72,0.312784469
73,0.820826706
74,0.667213877
75,0.946278886
76,0.562936505
77,0.046853103
78,0.688149511
79,0.523246469
80,0.819409608
81,0.817704629
82,0.652421732
83,0.852842259
84,0.672777636
85,0.910043699
86,0.533020099
87,0.513812371
88,0.780385463
89,0.529776954
90,0.651943589
91,0.988332919
92,0.111600458
93,0.625333805
94,0.439198619
95,0.551088482
96,0.542441943
97,0.163402982
98,0.417262547
99,0.432125912
100,0.329198072
101,0.873190471
102,0.248179232
103,0.217713367
104,0.45060313
105,0.16943559
106,0.321387659
107,0.388679738
108,0.623766179
109,0.246643601
110,0.600165472
111,0.957260008
112,0.286260866
113,0.061892546
114,0.205436393
115,0.739543428
116,0.780075042
117,0.354064325
118,0.460605133
119,0.890338555
120,0.086553667
121,0.938589547
122,0.839170101
123,0.205965108
124,0.049389767
125,0.743992378
126,0.936369311
127,0.339170791
128,0.832577802
129,0.202621696
130,0.736475836
131,0.678853312
132,0.645956826
133,0.159125792
134,0.806457463
135,0.806179845
136,0.495373388
137,0.106810255
138,0.364812832
139,0.800338051
140,0.448484958
141,0.877108603
142,0.467101905
143,0.333515954
144,0.803396986
145,0.231247702
146,0.884886469
147,0.924869724
148,0.678309637
149,0.153641317
150,0.124558349
151,0.466021568
152,0.952173288
153,0.229125409
154,0.624126241
155,0.32237456
156,0.506328852
157,0.157656922
158,0.98328532
159,0.568812502
160,0.414202162
161,0.908608083
162,0.757236754
163,0.212590601
164,0.11320109
165,0.090117214
166,0.316753437
167,0.648463156
168,0.492872644
169,0.338731401
170,0.125604418
171,0.838522452
172,0.42742475
173,0.1527119
174,0.22219639
175,0.405944466
176,0.058862793
177,0.380442605
178,0.932066556
179,0.561085559
180,0.029605651
181,0.839933259
182,0.955455189
183,0.441354055
184,0.025024228
185,0.183422104
186,0.84498867
187,0.174407139
188,0.835405479
189,0.96329615
190,0.929295159
191,0.88479585
192,0.651386003
193,0.108816232
194,0.830008865
195,0.17642627
196,0.104257836
197,0.012346341
198,0.40376157
199,0.845596104
200,0.965160999
201,0.634279143
202,0.446012169
203,0.952783402
204,0.168821372
205,0.483408135
206,0.059372277
207,0.999863571
208,0.586144671
209,0.74540165
210,0.08642555
211,0.02368373
212,0.843467504
213,0.035369155
214,0.167448753
215,0.851000906
216,0.686001358
217,0.038571313
218,0.50087271
219,0.45432643
220,0.706072311
221,0.815710453
222,0.359449808
223,0.326247663
224,0.530829365
225,0.667925877
226,0.826310608
227,0.663363072
228,0.355071206
229,0.30688997
230,0.335771448
231,0.432371958
232,0.40839751
233,0.080268979
234,0.780442103
235,0.700575752
236,0.236568824
237,0.18388577
238,0.263991414
239,0.536535039
240,0.995064283
241,0.410574689
242,0.805145527
243,0.241348012
244,0.820989831
245,0.998412413
246,0.828605369
247,0.581143012
248,0.455792509
249,0.973684202
250,0.247855206
251,0.499385481
252,0.090037045
253,0.586215812
254,0.873467104
255,0.563842041
256,0.794115712
257,0.703163373
258,0.784932756
259,0.460743066
260,0.486400509
261,0.631078744
262,0.464408654
263,0.700699879
264,0.312925311
265,0.822336329
266,0.90618718
267,0.844078487
268,0.210159661
269,0.216932658
270,0.282627612
271,0.275607949
272,0.382258109
273,0.810123896
274,0.839311979
275,0.912133786
276,0.377062615
277,0.443323188
278,0.692712203
279,0.688895081
280,0.04310096
281,0.501542209
282,0.700868085
283,0.94906399
284,0.989792655
285,0.803963317
286,0.554947253
287,0.075675868
288,0.342496034
289,0.343519061
290,0.934029157
291,0.646154627
292,0.963792064
293,0.103436425
294,0.525716573
295,0.567097833
296,0.684721312
297,0.66613132
298,0.55110166
299,0.56828606
300,0.854938214
301,0.275795605
302,0.593251993
303,0.126465676
304,0.106069449
305,0.72139964
306,0.983902717
307,0.058280117
308,0.501766915
309,0.439966807
310,0.394132539
311,0.956355413
312,0.055220404
313,0.985577045
314,0.635739725
315,0.356138999
316,0.405378433
317,0.717479645
318,0.114990841
319,0.446637415
320,0.243742653
321,0.926776031
322,0.92603709
323,0.442142184
324,0.79922498
325,0.203814829
326,0.168652273
327,0.29443988
328,0.943094879
329,0.132838844
330,0.781539305
331,0.657575016
332,0.102626333
333,0.100832062
334,0.066367833
335,0.062283355
336,0.760615212
337,0.986655818
338,0.740318293
339,0.812844892
340,0.043994102
341,0.822708368
342,0.179614343
343,0.769554031
344,0.933845828
345,0.495110633
346,0.293547392
347,0.733731293
348,0.01185733
349,0.880055033
350,0.343505798
351,0.897959292
352,0.648862905
353,0.280465176
354,0.217197171
355,0.428034553
356,0.814978292
357,0.309982556
358,0.319884734
359,0.738821611
360,0.085265058
361,0.253345604
362,0.054138989
363,0.123637543
364,0.239117623
365,0.400494579
366,0.827942447
367,0.306963028
368,0.291005568
369,0.476632683
370,0.004356358
371,0.225841085
372,0.677425165
373,0.916629746
374,0.243613663
375,0.930900283
376,0.197636343
377,0.700049646
378,0.260946591
379,0.351964708
380,0.217011817
381,0.397182425
382,0.041369201
383,0.712250278
384,0.975101115
385,0.354153272
386,0.00345125
387,0.50374177
388,0.751857743
389,0.830525691
390,0.461743899
391,0.23230377
392,0.278749583
393,0.434949824
394,0.964101471
395,0.566953033
396,0.241756084
397,0.77636341
398,0.26416134
399,0.745890758
400,0.068139926
401,0.375153972
402,0.119761427
403,0.195959409
404,0.444182638
405,0.450677191
406,0.82884567
407,0.065944109
408,0.584074015
409,0.116277794
410,0.242415254
411,0.455853769
412,0.248167844
413,0.222578517
414,0.575117426
415,0.819067045
416,0.827695269
417,0.534457407
418,0.029584614
419,0.902585209
420,0.099866117
421,0.607037442
422,0.081073877
423,0.925500444
424,0.052040132
425,0.782875154
426,0.037353733
427,0.76345573
428,0.514520513
429,0.745017119
430,0.588044183
431,0.975477258
432,0.282525975
433,0.259213051
434,0.689323489
435,0.248691892
436,0.462456074
437,0.986909402
438,0.979372557
439,0.060336357
440,0.387265885
441,0.891231722
442,0.325382242
443,0.836512324
444,0.004548063
445,0.358098648
446,0.657304167
447,0.273558862
448,0.463589568
449,0.195615227
450,0.858566088
451,0.566771333
452,0.040420272
453,0.749696873
454,0.558930453
455,0.119794005
456,0.901306546
457,0.442750197
458,0.706792935
459,0.852966148
460,0.046292274
461,0.682206398
462,0.816953634
463,0.24562862
464,0.523211724
465,0.370273682
466,0.452244096
467,0.032200938
468,0.416635173
469,0.243260234
470,0.758470758
471,0.50415045
472,0.307246751
473,0.214456819
474,0.510496564
475,0.970077205
476,0.175074515
477,0.284214405
478,0.634583711
479,0.619380491
480,0.944656526
481,0.297235614
482,0.113534244
483,0.479503169
484,0.510854946
485,0.655572925
486,0.804183904
487,0.928247743
488,0.716325434
489,0.648918884
490,0.764332293
491,0.450224496
492,0.056160845
493,0.081319134
494,0.078102502
495,0.039479672
496,0.130260637
497,0.251827016
498,0.535558309
499,0.113884529
500,0.212841743
501,0.715786742
502,0.904716521
503,0.72632307
504,0.718080756
505,0.827285693
506,0.468474986
507,0.589287012
508,0.631940827
509,0.035980129
510,0.865510274
511,0.137724939
512,0.394481027
513,0.525650581
514,0.449770267
515,0.598798736
516,0.236614654
517,0.748211796
518,0.624231507
519,0.373168486
520,0.37513769
521,0.879181892
522,0.455326318
523,0.092254147
524,0.984276159
525,0.264688564
526,0.400672882
527,0.070179893
528,0.234457696
529,0.354933766
530,0.630582618
531,0.41275836
532,0.086202607
533,0.807156127
534,0.054592187
535,0.789724584
536,0.940687751
537,0.440716132
538,0.695382808
539,0.193542325
540,0.706867594
541,0.800807603
542,0.15483106
543,0.205930653
544,0.915164445
545,0.561763647
